rank,title,year,genre,language,flickmetrix_score,imdb_100,imdb_votes,metacritic,critic_rating_rt,critic_reviews,audience_rating,audience_reviews,letterboxd,letterboxd_votes,google_score,imdbid,custom_score,score_diff
69,the departed,2006,drama thriller crime,english,86.0,85.0,1478709,85.0,84.0,172,91.0,853886,86,1082954,92.0,tt0407887,87.17,7.0
70,chinatown,1974,crime drama mystery thriller,english,87.0,81.0,362976,92.0,94.0,63,89.0,176581,86,373349,81.0,tt0071315,87.17,5.0
71,paths of glory,1957,war drama history,english,86.0,84.0,224612,90.0,90.0,68,92.0,99118,88,226166,79.0,tt0050825,87.17,2.0
72,monty python and the holy grail,1975,adventure comedy fantasy,english,86.0,82.0,584895,91.0,87.0,60,90.0,602159,82,515943,91.0,tt0071853,87.17,3.0
73,my neighbor totoro,1988,fantasy animation family,japanese,86.0,81.0,403332,87.0,86.0,54,90.0,503212,84,1326860,94.0,tt0096283,87.0,4.0
74,la confidential,1997,crime mystery thriller drama,english,86.0,82.0,638085,91.0,90.0,96,90.0,205235,82,312718,87.0,tt0119488,87.0,0.0
75,the lion king,1994,family animation drama,english,86.0,85.0,1194520,88.0,86.0,115,90.0,1332919,84,1460091,89.0,tt0110357,87.0,4.0
76,hamilton,2020,history drama,english,87.0,83.0,126439,88.0,91.0,102,88.0,142644,84,423181,87.0,tt8503618,86.83,3.0
77,cinema paradiso,1988,drama romance,italian,86.0,85.0,299114,80.0,81.0,61,93.0,156145,90,336814,92.0,tt0095765,86.83,12.0
78,city of god,2002,drama crime,portuguese,86.0,86.0,832918,79.0,82.0,110,93.0,417654,90,747463,91.0,tt0317248,86.83,11.0
79,wolfwalkers,2020,animation family adventure fantasy,english,85.0,80.0,41605,87.0,87.0,109,95.0,45817,84,135079,88.0,tt5198068,86.83,8.0
80,the bridge on the river kwai,1957,drama history war,english,87.0,81.0,240528,88.0,93.0,64,89.0,67210,84,91805,86.0,tt0050212,86.83,4.0
81,im still here,2024,drama history,portuguese,87.0,84.0,94661,85.0,84.0,106,87.0,198274,86,526291,95.0,tt14961016,86.8,3.0
82,it happened one night,1934,comedy romance,english,86.0,81.0,116269,87.0,90.0,72,89.0,56458,84,101589,89.0,tt0025316,86.67,1.0
83,beauty and the beast,1991,romance family animation fantasy,english,86.0,80.0,491091,95.0,89.0,102,88.0,679535,78,640107,90.0,tt0101414,86.67,1.0
84,spiderman into the spiderverse,2018,animation action adventure science fiction,english,86.0,84.0,723333,87.0,88.0,242,90.0,1068834,88,3153094,83.0,tt4633694,86.67,2.0
85,8½,1963,drama,italian,86.0,80.0,128719,93.0,87.0,53,89.0,95771,86,196861,85.0,tt0056801,86.67,2.0
86,spiderman across the spiderverse,2023,animation action adventure science fiction,english,87.0,85.0,441825,86.0,86.0,222,87.0,838214,88,2432408,88.0,tt9362722,86.6,1.0
87,the wild robot,2024,animation science fiction family,english,87.0,82.0,151761,85.0,84.0,143,87.0,198274,84,807351,98.0,tt29623480,86.6,3.0
88,gone with the wind,1939,drama war romance,english,86.0,82.0,344610,97.0,90.0,66,88.0,259241,78,189395,84.0,tt0031381,86.5,2.0
89,the wild bunch,1969,western,english,86.0,79.0,92654,98.0,91.0,54,87.0,43809,82,62739,82.0,tt0065214,86.5,4.0
90,in the mood for love,2000,drama romance,chinese,85.0,81.0,175775,87.0,82.0,87,90.0,251393,88,645707,91.0,tt0118694,86.5,8.0
91,toy story 3,2010,animation family comedy,english,86.0,83.0,926157,92.0,90.0,218,86.0,796262,80,1171417,88.0,tt0435761,86.5,4.0
92,the truman show,1998,comedy drama,english,86.0,82.0,1267347,90.0,86.0,108,87.0,1350393,84,2880682,90.0,tt0120382,86.5,1.0
